CIE_Escola,Serviço,Detalhe
306526,Alimentação escolar,10 alunos
434000,Transporte,17 alunos
434000,Alimentação escolar,16 alunos
421868,Alimentação escolar,52 alunos
477783,Alimentação escolar,9 alunos
100201,Alimentação escolar,22 alunos
100389,Alimentação escolar,3 alunos
100249,Alimentação escolar,14 alunos
469786,Alimentação escolar,29 alunos
100341,Alimentação escolar,32 alunos
469774,Alimentação escolar,31 alunos
568430,Alimentação escolar,17 alunos
8803,Alimentação escolar,10 alunos
100407,Alimentação escolar,10 alunos
100110,Alimentação escolar,48 alunos
495219,Alimentação escolar,30 alunos
417439,Alimentação escolar,111 alunos
482419,Alimentação escolar,6 alunos
127152,Alimentação escolar,86 alunos
343316,Alimentação escolar,37 alunos
559118,Alimentação escolar,37 alunos
559097,Alimentação escolar,36 alunos
469798,Alimentação escolar,19 alunos
395365,Alimentação escolar,15 alunos
566044,Alimentação escolar,23 alunos
559210,Alimentação escolar,249 alunos
127164,Alimentação escolar,16 alunos
100262,Alimentação escolar,6 alunos
268574,Alimentação escolar,18 alunos
559076,Alimentação escolar,28 alunos
499523,Alimentação escolar,15 alunos
559106,Alimentação escolar,55 alunos
194906,Alimentação escolar,5 alunos
127176,Alimentação escolar,4 alunos
534924,Alimentação escolar,6 alunos
100948,Alimentação escolar,31 alunos
100195,Alimentação escolar,36 alunos
100146,Alimentação escolar,33 alunos
559088,Alimentação escolar,19 alunos
925135,Alimentação escolar,296 alunos
7734,Alimentação escolar,67 alunos
103100,Alimentação escolar,101 alunos
