CIE_Escola,Grupo,Status,Valor
306526,ADOLESCENTES (12 - 18),Vacina COVID-19,50 % dos Alunos
306526,ADOLESCENTES (12 - 18),Vacina COVID-19,2 Alunos Vacinados
306526,CRIANÇAS (5 - 11),Vacina COVID-19,67 % dos Alunos
306526,CRIANÇAS (5 - 11),Vacina COVID-19,2 Alunos Vacinados
306526,OUTRAS FAIXAS ETÁRIAS,Vacina COVID-19,100 % dos Alunos
306526,OUTRAS FAIXAS ETÁRIAS,Vacina COVID-19,1 Alunos Vacinados
306526,SERVIDORES,Vacina COVID-19,100 % dos Servidores
306526,SERVIDORES,Vacina COVID-19,9 Servidores Vacinados
434000,CRIANÇAS (5 - 11),Vacina COVID-19,14 % dos Alunos
434000,CRIANÇAS (5 - 11),Vacina COVID-19,1 Alunos Vacinados
434000,SERVIDORES,Vacina COVID-19,120 % dos Servidores
434000,SERVIDORES,Vacina COVID-19,6 Servidores Vacinados
421868,ADOLESCENTES (12 - 18),Vacina COVID-19,42 % dos Alunos
421868,ADOLESCENTES (12 - 18),Vacina COVID-19,8 Alunos Vacinados
421868,CRIANÇAS (5 - 11),Vacina COVID-19,71 % dos Alunos
421868,CRIANÇAS (5 - 11),Vacina COVID-19,15 Alunos Vacinados
421868,SERVIDORES,Vacina COVID-19,75 % dos Servidores
421868,SERVIDORES,Vacina COVID-19,9 Servidores Vacinados
477783,ADOLESCENTES (12 - 18),Vacina COVID-19,17 % dos Alunos
477783,ADOLESCENTES (12 - 18),Vacina COVID-19,1 Alunos Vacinados
477783,CRIANÇAS (5 - 11),Vacina COVID-19,0 % dos Alunos
477783,CRIANÇAS (5 - 11),Vacina COVID-19,0 Alunos Vacinados
477783,SERVIDORES,Vacina COVID-19,67 % dos Servidores
477783,SERVIDORES,Vacina COVID-19,2 Servidores Vacinados
100201,ADOLESCENTES (12 - 18),Vacina COVID-19,0 % dos Alunos
100201,ADOLESCENTES (12 - 18),Vacina COVID-19,0 Alunos Vacinados
100201,CRIANÇAS (5 - 11),Vacina COVID-19,0 % dos Alunos
100201,CRIANÇAS (5 - 11),Vacina COVID-19,0 Alunos Vacinados
100201,SERVIDORES,Vacina COVID-19,100 % dos Servidores
100201,SERVIDORES,Vacina COVID-19,10 Servidores Vacinados
100389,ADOLESCENTES (12 - 18),Vacina COVID-19,0 % dos Alunos
100389,ADOLESCENTES (12 - 18),Vacina COVID-19,0 Alunos Vacinados
100389,CRIANÇAS (5 - 11),Vacina COVID-19,0 % dos Alunos
100389,CRIANÇAS (5 - 11),Vacina COVID-19,0 Alunos Vacinados
100389,SERVIDORES,Vacina COVID-19,100 % dos Servidores
100389,SERVIDORES,Vacina COVID-19,1 Servidores Vacinados
100249,ADOLESCENTES (12 - 18),Vacina COVID-19,0 % dos Alunos
100249,ADOLESCENTES (12 - 18),Vacina COVID-19,0 Alunos Vacinados
100249,CRIANÇAS (5 - 11),Vacina COVID-19,0 % dos Alunos
100249,CRIANÇAS (5 - 11),Vacina COVID-19,0 Alunos Vacinados
100249,OUTRAS FAIXAS ETÁRIAS,Vacina COVID-19,100 % dos Alunos
100249,OUTRAS FAIXAS ETÁRIAS,Vacina COVID-19,2 Alunos Vacinados
100249,SERVIDORES,Vacina COVID-19,75 % dos Servidores
100249,SERVIDORES,Vacina COVID-19,6 Servidores Vacinados
469786,ADOLESCENTES (12 - 18),Vacina COVID-19,11 % dos Alunos
469786,ADOLESCENTES (12 - 18),Vacina COVID-19,1 Alunos Vacinados
469786,CRIANÇAS (5 - 11),Vacina COVID-19,0 % dos Alunos
469786,CRIANÇAS (5 - 11),Vacina COVID-19,0 Alunos Vacinados
469786,SERVIDORES,Vacina COVID-19,56 % dos Servidores
469786,SERVIDORES,Vacina COVID-19,10 Servidores Vacinados
100341,ADOLESCENTES (12 - 18),Vacina COVID-19,60 % dos Alunos
100341,ADOLESCENTES (12 - 18),Vacina COVID-19,3 Alunos Vacinados
100341,CRIANÇAS (5 - 11),Vacina COVID-19,54 % dos Alunos
100341,CRIANÇAS (5 - 11),Vacina COVID-19,7 Alunos Vacinados
100341,OUTRAS FAIXAS ETÁRIAS,Vacina COVID-19,100 % dos Alunos
100341,OUTRAS FAIXAS ETÁRIAS,Vacina COVID-19,1 Alunos Vacinados
100341,SERVIDORES,Vacina COVID-19,50 % dos Servidores
