Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,OMAR DONATO BASSANI,35008771,SP,São Bernardo do Campo,Urbana,Terra indígena,Pública,"ERNESTO ZABEU, 253 RUA. TATETOS. 09837-150 São Bernardo do Campo - SP.",(11) 43547192,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,TXONDARO TEKOA MBAE,35008803,SP,Barão de Antonina,Rural,Terra indígena,Pública,"VICINAL, SN BAIRRO DOS VITOR. 18494-899 Barão de Antonina - SP.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos",,-23.61057926,-49.58292046
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL INDIGENA ALDEIA MA ENDU A PORA,35009999,SP,Cananéia,Rural,Terra indígena,Pública,"DO ARIRI, SN SANTA MARIA. 11990-000 Cananéia - SP.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ALDEIA KOPENOTI,35100110,SP,Avaí,Rural,Terra indígena,Pública,"AREA RURAL, SN RUA. AREA RURAL DE NOGUEIRA. 16689-899 Avaí - SP.",(14) 998870755,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-22.2653098,-49.3482486
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ALDEIA NIMUENDAJU,35100146,SP,Avaí,Rural,Terra indígena,Pública,"POSTO INDIGENA NIMUENDAJU, SN RUA. ALDEIA NIMUENDAJU. 16688-899 Avaí - SP.",(14) 998029353,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-22.2905568,-49.3772743
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ALDEIA EKERUA,35100195,SP,Avaí,Rural,Terra indígena,Pública,"ALDEIA EKERUA, SN RUA. ALDEIA EKERUA. 16688-899 Avaí - SP.",(14) 996850981,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-22.2745556,-49.3729208
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ALDEIA CAPOEIRAO,35100249,SP,Itariri,Rural,Terra indígena,Pública,"ALDEIA CAPOEIRAO, SN RUA. KM 93. 11760-000 Itariri - SP.",(13) 997568412,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos",,-24.3380698,-47.09367182
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ALDEIA RIO DO AZEITE,35100262,SP,Itariri,Rural,Terra indígena,Pública,"RIO DO AZEITE, SN RUA. RIO DO AZEITE. 11760-000 Itariri - SP.",(13) 997568412,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,-24.3429203,-47.1434468
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ALDEIA TEREGUA,35100341,SP,Avaí,Rural,Terra indígena,Pública,"ALDEIA TEREGUA, SN RUA. LARANJEIRAS. 16688-899 Avaí - SP.",(14) 996540273,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos",,-22.30864547,-49.38266052
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ALDEIA SANTA CRUZ,35100389,SP,Cananéia,Rural,Terra indígena,Pública,"PARQUE ESTADUAL DA ILHA DO CARDOSO, SN AVENIDA. ILHA DO CARDOSO. 11990-000 Cananéia - SP.",(13) 38281455,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,                              ,                              
