CIE_Escola,Faixa_Etaria,Anos_Iniciais,Anos_Finais,Ensino_Medio,EJA_Anos_Iniciais,EJA_Anos_Finais,EJA_Ensino_Medio,Ensino_Infantil
559106,06 a 10 anos,19,1,,,,,2
559106,11 a 14 anos,7,19,,,,,
559106,15 a 17 anos,,6,,,,,
559106,acima dos 18 anos,,2,,,,,
568430,06 a 10 anos,4,,,,,,
568430,11 a 14 anos,2,6,,,,,
568430,15 a 17 anos,,4,,,,,
568430,acima dos 18 anos,,,,,,7,
534924,06 a 10 anos,3,,,,,,
534924,11 a 14 anos,1,2,,,,,
534924,15 a 17 anos,,,,,,,
534924,acima dos 18 anos,,,,,,,
127152,06 a 10 anos,24,1,,,,,1
127152,11 a 14 anos,4,17,,,,,
127152,15 a 17 anos,,8,12,,,,
127152,acima dos 18 anos,,,7,2,5,4,
194906,06 a 10 anos,3,,,,,,
194906,11 a 14 anos,,1,,,,,
194906,15 a 17 anos,,2,,,,,
194906,acima dos 18 anos,,,,,,,
100195,06 a 10 anos,11,,,,,,
100195,11 a 14 anos,,11,,,,,
100195,15 a 17 anos,,1,8,,,,
100195,acima dos 18 anos,,,,,,2,
127164,06 a 10 anos,9,,,,,,3
127164,11 a 14 anos,2,4,,,,,
127164,15 a 17 anos,,2,,,,,
127164,acima dos 18 anos,,,,,,,
477783,06 a 10 anos,,,,,,,
477783,11 a 14 anos,2,1,,,,,
477783,15 a 17 anos,,1,2,,,,
477783,acima dos 18 anos,,,,,,,
434000,06 a 10 anos,7,,,,,,
434000,11 a 14 anos,3,3,,,,,
434000,15 a 17 anos,,,,,,,
434000,acima dos 18 anos,,,,,,,
268574,06 a 10 anos,10,,,,,,
268574,11 a 14 anos,,5,,,,,
268574,15 a 17 anos,,,,,,,
268574,acima dos 18 anos,,,,,1,3,
100110,06 a 10 anos,10,,,,,,
100110,11 a 14 anos,1,13,,,,,
100110,15 a 17 anos,,2,6,,,,
100110,acima dos 18 anos,,,,,2,3,
469786,06 a 10 anos,16,,,,,,1
469786,11 a 14 anos,1,8,,,,,
469786,15 a 17 anos,,1,,,,,
469786,acima dos 18 anos,,1,,,3,,
100146,06 a 10 anos,14,,,,,,
100146,11 a 14 anos,2,10,,,,,
100146,15 a 17 anos,,1,4,,,,
100146,acima dos 18 anos,,,1,,1,2,
559088,06 a 10 anos,4,,,,,,
559088,11 a 14 anos,,3,,,,,
559088,15 a 17 anos,,2,1,,,,
559088,acima dos 18 anos,,1,3,,,,
559118,06 a 10 anos,20,,,,,,2
559118,11 a 14 anos,3,4,,,,,
559118,15 a 17 anos,,1,,,,,
559118,acima dos 18 anos,,,,,3,,
559076,06 a 10 anos,11,,,,,,
559076,11 a 14 anos,,5,,,,,
559076,15 a 17 anos,,2,7,,,,
559076,acima dos 18 anos,,,,,,,
100201,06 a 10 anos,11,,,,,,
100201,11 a 14 anos,2,3,,,,,
100201,15 a 17 anos,,,2,,,,
100201,acima dos 18 anos,,,1,,1,5,
100407,06 a 10 anos,2,,,,,,
100407,11 a 14 anos,,4,,,,,
100407,15 a 17 anos,,4,,,,,
100407,acima dos 18 anos,,,,,,,
100948,06 a 10 anos,11,,,,,,4
100948,11 a 14 anos,3,8,,,,,
100948,15 a 17 anos,1,4,,,,,
100948,acima dos 18 anos,,1,,,,,
100262,06 a 10 anos,1,,,,,,
100262,11 a 14 anos,1,2,,,,,
100262,15 a 17 anos,,,,,,,
100262,acima dos 18 anos,,,,,,,
100389,06 a 10 anos,7,,,,,,
100389,11 a 14 anos,7,1,,,,,
100389,15 a 17 anos,,3,,,,,
100389,acima dos 18 anos,,1,,,,,
495219,06 a 10 anos,9,,,,,,1
495219,11 a 14 anos,4,7,,,,,
495219,15 a 17 anos,1,2,8,,,,
495219,acima dos 18 anos,,1,4,4,,,
469774,06 a 10 anos,17,,,,,,1
469774,11 a 14 anos,2,3,,,,,
469774,15 a 17 anos,3,,,,,,
469774,acima dos 18 anos,,,,,,,
499523,06 a 10 anos,6,,,,,,2
499523,11 a 14 anos,,2,,,,,
499523,15 a 17 anos,,,4,,,,
499523,acima dos 18 anos,,,2,,,,
469798,06 a 10 anos,14,,,,,,
469798,11 a 14 anos,,5,,,,,
469798,15 a 17 anos,,1,,,,,
469798,acima dos 18 anos,,,,,,,
306526,06 a 10 anos,4,,,,,,1
306526,11 a 14 anos,,3,,,,,
306526,15 a 17 anos,,,3,,,,
306526,acima dos 18 anos,,,,,2,2,
100341,06 a 10 anos,9,,,,,,
100341,11 a 14 anos,,11,,,,,
100341,15 a 17 anos,,1,,,,,
100341,acima dos 18 anos,,,,2,2,,
127176,06 a 10 anos,4,,,,,,
127176,11 a 14 anos,,,,,,,
127176,15 a 17 anos,,,,,,,
127176,acima dos 18 anos,,,,,,,
482419,06 a 10 anos,4,,,,,,
482419,11 a 14 anos,,,,,,,
482419,15 a 17 anos,,,,,,,
482419,acima dos 18 anos,,,1,,1,2,
7734,06 a 10 anos,10,,,,,,
7734,11 a 14 anos,4,2,,,,,
7734,15 a 17 anos,,1,1,,,,
7734,acima dos 18 anos,,,2,,9,,
559210,06 a 10 anos,102,,,,,,
559210,11 a 14 anos,25,52,,,,,
559210,15 a 17 anos,,32,25,,,,
559210,acima dos 18 anos,,2,17,4,,17,
100249,06 a 10 anos,3,,,,,,
100249,11 a 14 anos,1,4,,,,,
100249,15 a 17 anos,,,,,,,
100249,acima dos 18 anos,,1,,,3,3,
395365,06 a 10 anos,9,,,,,,2
395365,11 a 14 anos,1,6,,,,,
395365,15 a 17 anos,,,,,,,
395365,acima dos 18 anos,,,,,,,
421868,06 a 10 anos,17,,,,,,
421868,11 a 14 anos,,18,,,,,
421868,15 a 17 anos,,1,9,,,,
421868,acima dos 18 anos,,,1,,,,
925135,06 a 10 anos,130,3,,,,,
925135,11 a 14 anos,12,71,1,,,,
925135,15 a 17 anos,1,20,43,,,,
925135,acima dos 18 anos,,,13,,,9,
343316,06 a 10 anos,14,,,,,,
343316,11 a 14 anos,,10,,,,,
343316,15 a 17 anos,,,2,,,,
343316,acima dos 18 anos,,,,,3,,
103100,06 a 10 anos,41,1,,,,,
103100,11 a 14 anos,12,24,,,,,
103100,15 a 17 anos,,3,16,,,,
103100,acima dos 18 anos,2,2,7,,,8,
559097,06 a 10 anos,14,,,,,,1
559097,11 a 14 anos,5,10,,,,,
559097,15 a 17 anos,,6,,,,,
559097,acima dos 18 anos,,1,,,,,
566044,06 a 10 anos,9,1,,,,,
566044,11 a 14 anos,4,10,,,,,
566044,15 a 17 anos,,1,,,,,
566044,acima dos 18 anos,,,,2,,,
417439,06 a 10 anos,,,,,,,
417439,11 a 14 anos,,47,,,,,
417439,15 a 17 anos,,12,22,,,,
417439,acima dos 18 anos,,,6,,4,10,
8803,06 a 10 anos,2,,,,,,1
8803,11 a 14 anos,1,3,,,,,
8803,15 a 17 anos,,,,,,,
8803,acima dos 18 anos,,,,,1,1,
PARANAPUA,06 a 10 anos,8,,,,,,
