CIE_Escola,Grupo,Equipamento,Quantidade
306526,Alunos,Computadores (Para Alunos),7
306526,Alunos,Tablet Aluno,9
306526,Gerais,Aparelho de Televisao,3
306526,Gerais,Computadores Portateis,8
306526,Gerais,Rede Local,1
434000,Alunos,Computadores (Para Alunos),3
434000,Alunos,Internet (Uso dos Alunos),1
434000,Gerais,Aparelho de Televisao,2
434000,Gerais,"Computadores de Mesa, Portáteis e Tablets da Escola",1
434000,Gerais,Computadores Portateis,3
434000,Gerais,Impressora,1
434000,N/A,Internet (Uso Administrativo),1
434000,N/A,Internet (Uso Pedagogico),1
421868,Alunos,Computadores (Para Alunos),6
421868,Alunos,Internet (Uso dos Alunos),1
421868,Alunos,Tablet Aluno,61
421868,Gerais,Aparelho de Dvd,2
421868,Gerais,Aparelho de Som,3
421868,Gerais,Aparelho de Televisao,4
421868,Gerais,Aparelhos de Wifi/Access Points,1
421868,N/A,Computadores (Uso Administrativo),5
421868,N/A,Computadores Portateis,5
421868,N/A,Impressora,1
421868,N/A,Impressora Multifuncional,2
421868,N/A,Internet (Uso Administrativo),1
421868,N/A,Internet (Uso Pedagogico),1
421868,N/A,Maquina Fotografica Filmadora,1
421868,N/A,Projetor Multimidia  Data Show,1
421868,N/A,Rede Local,1
421868,N/A,Retroprojetor,1
421868,N/A,Videocassete,2
100201,Alunos,Computadores (Para Alunos),5
100201,Alunos,Internet (Uso dos Alunos),1
100201,Alunos,Tablet Aluno,5
100201,Gerais,Aparelho de Som,1
100201,Gerais,Aparelho de Televisao,3
100201,Gerais,Aparelhos de Wifi/Access Points,1
100201,Gerais,Computadores (Uso Administrativo),2
100201,N/A,"Computadores de Mesa, Portáteis e Tablets da Escola",1
100201,N/A,Computadores Portateis,7
100201,N/A,Internet (Uso Administrativo),1
100201,N/A,Internet (Uso Pedagogico),1
100201,N/A,Projetor Multimidia  Data Show,1
100201,N/A,Rede Local,1
100249,Alunos,Computadores (Para Alunos),3
100249,Gerais,Aparelho de Som,1
100341,Alunos,Computadores (Para Alunos),2
100341,Alunos,Tablet Aluno,10
100341,Gerais,Antena Parabólica,1
100341,Gerais,Aparelho de Televisao,3
100341,Gerais,Aparelhos de Wifi/Access Points,3
100341,Gerais,Computadores (Uso Administrativo),2
100341,N/A,Computadores Portateis,3
100341,N/A,Internet (Uso Administrativo),1
100341,N/A,Internet (Uso Pedagogico),1
8803,Alunos,Tablet Aluno,8
8803,Gerais,Aparelho de Televisao,1
8803,Gerais,Computadores Portateis,6
100110,Alunos,Computadores (Para Alunos),2
100110,Gerais,Antena Parabólica,1
100110,Gerais,Aparelho de Dvd,1
100110,Gerais,Aparelho de Som,1
100110,Gerais,Aparelho de Televisao,1
100110,N/A,Aparelhos de Wifi/Access Points,1
100110,N/A,Computadores (Uso Administrativo),1
100110,N/A,Computadores Portateis,3
100110,N/A,Copiadora,1
100110,N/A,Fax,1
100110,N/A,Impressora,1
100110,N/A,Impressora Multifuncional,1
100110,N/A,Lousa Digital,1
100110,N/A,Maquina Fotografica Filmadora,1
100110,N/A,Projetor Multimidia  Data Show,1
100110,N/A,Rede Local,1
100110,N/A,Retroprojetor,1
100110,N/A,Scanner,1
100110,N/A,Videocassete,1
417439,Alunos,Internet (Uso dos Alunos),1
417439,Alunos,Tablet Aluno,82
417439,Gerais,Aparelho de Televisao,7
417439,Gerais,Aparelhos de Wifi/Access Points,5
417439,Gerais,Computadores (Uso Administrativo),4
417439,Gerais,"Computadores de Mesa, Portáteis e Tablets da Escola",1
417439,N/A,Computadores Portateis,10
417439,N/A,Internet (Uso Administrativo),1
417439,N/A,Internet (Uso Pedagogico),1
482419,Alunos,Computadores (Para Alunos),1
482419,Alunos,Tablet Aluno,2
482419,Gerais,Aparelho de Dvd,1
482419,Gerais,Aparelho de Televisao,3
482419,Gerais,Computadores Portateis,6
482419,Gerais,Internet (Uso Pedagogico),1
482419,N/A,Rede Local,1
127152,Alunos,Computadores (Para Alunos),5
127152,Alunos,Internet (Uso dos Alunos),1
127152,Alunos,Tablet Aluno,75
127152,Gerais,Aparelho de Dvd,1
127152,Gerais,Aparelho de Som,2
127152,Gerais,Aparelho de Televisao,2
127152,Gerais,Aparelhos de Wifi/Access Points,3
127152,N/A,Computadores (Uso Administrativo),3
127152,N/A,Computadores Portateis,8
127152,N/A,Dispositivos Pessoais,1
127152,N/A,Impressora Multifuncional,1
127152,N/A,Internet (Uso Administrativo),1
127152,N/A,Internet (Uso da Comunidade),1
127152,N/A,Internet (Uso Pedagogico),1
127152,N/A,Maquina Fotografica Filmadora,1
127152,N/A,Projetor Multimidia  Data Show,1
127152,N/A,Rede Local,1
127152,N/A,Videocassete,1
343316,Alunos,Computadores (Para Alunos),4
343316,Gerais,Aparelho de Som,1
343316,Gerais,Computadores (Uso Administrativo),1
343316,Gerais,Rede Local,1
559118,Gerais,Computadores (Uso Administrativo),5
559097,Alunos,Internet (Uso dos Alunos),1
559097,Gerais,Computadores (Uso Administrativo),1
