CIE,Nome,Tipo,Diretoria,Endereço,Bairro,Município,Telefone,Email,Total_Alunos,Total_Turmas
306526,ALDEIA TEKOAPORA,EEI - INDIGENA,ITARARE,"RUA BAIRRO VOLTA GRANDE, SN  CEP: 18480-000",VOLTA GRANDE,ITAPORANGA,(15) 35318000,DEITR@EDUCACAO.SP.GOV.BR,10,8
434000,ALDEIA ITAPUA,EEI - INDIGENA,MIRACATU,N/A,PRAIA DO LESTE,IGUAPE,(13) 997515190,DEMIRCIE@EDUCACAO.SP.GOV.BR,16,4
421868,INDIA VANUIRE,EEI - INDIGENA,TUPA,"RUA POSTO INDIGENA B, SN  CEP: 17630-000",PONTE ALTA,ARCO-IRIS,(14) 996833179,E421868A@EDUCACAO.SP.GOV.BR,52,10
477783,ALDEIA ITAPU MIRIM,EEI - INDIGENA,REGISTRO,"RUA BAIRRO VOTUPOCA, SN  CEP: 11900-000",BAIRRO VOTUPOCA,REGISTRO,(13) 38281455,E477783A@EDUCACAO.SP.GOV.BR,9,3
100201,ALDEIA RENASCER,EEI - INDIGENA,CARAGUATATUBA,N/A,CORCOVADO,UBATUBA,(12) 38480228,E100201A@EDUCACAO.SP.GOV.BR,22,7
100389,ALDEIA SANTA CRUZ,EEI - INDIGENA,REGISTRO,N/A,ILHA DO CARDOSO,CANANEIA,(13) 38281455,E100389A@EDUCACAO.SP.GOV.BR,3,1
100249,ALDEIA CAPOEIRAO,EEI - INDIGENA,MIRACATU,"RUA ALDEIA CAPOEIRAO, SN , RUA CEP: 11760-000",KM 93,ITARIRI,(13) 99671305,DEMIRCIE@EDUCACAO.SP.GOV.BR,14,8
469786,ALDEIA NHAMANDU MIRIM,EEI - INDIGENA,SAO VICENTE,N/A,AREA RURAL DE PERUIBE,PERUIBE,N/A,E469786A@EDUCACAO.SP.GOV.BR,29,11
100341,ALDEIA TEREGUA,EEI - INDIGENA,BAURU,"RUA ALDEIA TEREGUA, SN , RUA CEP: 16680-000",LARANJEIRAS,AVAI,(14) 57040390,E100341A@EDUCACAO.SP.GOV.BR,32,9
469774,ALDEIA TANGARA,EEI - INDIGENA,SAO VICENTE,"RUA DE ACESSO ANTONIO CALICO, SN , RUA CEP: 11740-000",ALDEIA TANGARA,ITANHAEM,N/A,E469774A@EDUCACAO.SP.GOV.BR,31,8
