CIE_Escola,Nome,Municipio,Anos_Iniciais,Anos_Finais,Ensino_Medio,EJA_Anos_Iniciais,EJA_Anos_Finais,EJA_Ensino_Medio,Ensino_Infantil,fonte
925135,EEI GUARANI GWYRA PEPO,SÃO PAULO,1,1,1,0,0,1,0,SEDUC 2026 (escolas_alunos_por_modalidade)
559210,DJEKUPE AMBA ARANDY,SÃO PAULO,1,1,1,1,0,1,0,SEDUC 2026 (escolas_alunos_por_modalidade)
103100,KRUKUTU,SÃO PAULO,1,1,1,0,0,1,0,SEDUC 2026 (escolas_alunos_por_modalidade)
417439,TXERU BA'E KUA-I,BERTIOGA,0,1,1,0,1,1,0,SEDUC 2026 (escolas_alunos_por_modalidade)
127152,ALDEIA BOA VISTA,UBATUBA,1,1,1,1,1,1,1,SEDUC 2026 (escolas_alunos_por_modalidade)
559106,ALDEIA AGUAPEÚ,MONGAGUÁ,1,1,0,0,0,0,1,SEDUC 2026 (escolas_alunos_por_modalidade)
421868,ÍNDIA VANUÍRE,ARCO-ÍRIS,1,1,1,0,0,0,0,SEDUC 2026 (escolas_alunos_por_modalidade)
495219,ALDEIA TAKUARI TY,CANANÉIA,1,1,1,1,0,0,1,SEDUC 2026 (escolas_alunos_por_modalidade)
100110,ALDEIA KOPENOTI,AVAÍ,1,1,1,0,1,1,0,SEDUC 2026 (escolas_alunos_por_modalidade)
559097,KUARAY O'E A - SOL NASCENTE,MONGAGUÁ,1,1,0,0,0,0,1,SEDUC 2026 (escolas_alunos_por_modalidade)
100146,ALDEIA NIMUENDAJU,AVAÍ,1,1,1,0,1,1,0,SEDUC 2026 (escolas_alunos_por_modalidade)
559118,ALDEIA PIACAGUERA,PERUÍBE,1,1,0,0,1,0,1,SEDUC 2026 (escolas_alunos_por_modalidade)
100195,ALDEIA EKERUÁ,AVAÍ,1,1,1,0,0,1,0,SEDUC 2026 (escolas_alunos_por_modalidade)
100948,ALDEIA RIO BRANCO,ITANHAÉM,1,1,0,0,0,0,1,SEDUC 2026 (escolas_alunos_por_modalidade)
469786,ALDEIA NHAMANDU MIRIM,PERUÍBE,1,1,0,0,1,0,1,SEDUC 2026 (escolas_alunos_por_modalidade)
343316,KO'E JU,MIRACATU,1,1,1,0,1,0,0,SEDUC 2026 (escolas_alunos_por_modalidade)
7734,CLASSES VINCULADAS À EE OMAR DONATO BASSANI,SÃO BERNARDO DO CAMPO,1,1,1,0,1,0,0,SEDUC 2026 (escolas_alunos_por_modalidade)
566044,TAGUATO AGUIA,IGUAPE,1,1,0,1,0,0,0,SEDUC 2026 (escolas_alunos_por_modalidade)
469774,ALDEIA TANGARÁ,ITANHAÉM,1,1,0,0,0,0,1,SEDUC 2026 (escolas_alunos_por_modalidade)
100201,ALDEIA RENASCER,UBATUBA,1,1,1,0,1,1,0,SEDUC 2026 (escolas_alunos_por_modalidade)
559076,ALDEIA PINDO TY,PARIQUERA-AÇU,1,1,1,0,0,0,0,SEDUC 2026 (escolas_alunos_por_modalidade)
100341,ALDEIA TEREGUÁ,AVAÍ,1,1,0,1,1,0,0,SEDUC 2026 (escolas_alunos_por_modalidade)
568430,ALDEIA ARAÇÁ MIRIM,PARIQUERA-AÇU,1,1,0,0,0,1,0,SEDUC 2026 (escolas_alunos_por_modalidade)
127164,ALDEIA GWAWIRA,IGUAPE,1,1,0,0,0,0,1,SEDUC 2026 (escolas_alunos_por_modalidade)
469798,ALDEIA TEKOA MIRIM,PRAIA GRANDE,1,1,0,0,0,0,0,SEDUC 2026 (escolas_alunos_por_modalidade)
268574,ALDEIA KARUGWA,BARÃO DE ANTONINA,1,1,0,0,1,1,0,SEDUC 2026 (escolas_alunos_por_modalidade)
100389,ALDEIA SANTA CRUZ,CANANÉIA,1,1,0,0,0,0,0,SEDUC 2026 (escolas_alunos_por_modalidade)
395365,ÍNDIA MARIA ROSA,BRAÚNA,1,1,0,0,0,0,1,SEDUC 2026 (escolas_alunos_por_modalidade)
499523,ALDEIA TAQUARI,ELDORADO,1,1,1,0,0,0,1,SEDUC 2026 (escolas_alunos_por_modalidade)
306526,ALDEIA TEKOAPORÃ,ITAPORANGA,1,1,1,0,1,1,1,SEDUC 2026 (escolas_alunos_por_modalidade)
100249,EEI KARAI KATU,ITARIRI,1,1,0,0,1,1,0,SEDUC 2026 (escolas_alunos_por_modalidade)
559088,ALDEIA PEGUAO TY,SETE BARRAS,1,1,1,0,0,0,0,SEDUC 2026 (escolas_alunos_por_modalidade)
434000,ALDEIA ITAPUÃ,IGUAPE,1,1,0,0,0,0,0,SEDUC 2026 (escolas_alunos_por_modalidade)
100407,ALDEIA RIO BRANCO II,CANANÉIA,1,1,0,0,0,0,0,SEDUC 2026 (escolas_alunos_por_modalidade)
8803,TXONDARO TEKOA MBAE,BARÃO DE ANTONINA,1,1,0,0,1,1,1,SEDUC 2026 (escolas_alunos_por_modalidade)
PARANAPUA,ALDEIA PARANAPUÃ,SÃO VICENTE,1,0,0,0,0,0,0,SEDUC 2026 (escolas_alunos_por_modalidade)
482419,ALDEIA YWY PYHAU,BARÃO DE ANTONINA,1,0,1,0,1,1,0,SEDUC 2026 (escolas_alunos_por_modalidade)
534924,ALDEIA BANANAL,PERUÍBE,1,1,0,0,0,0,0,SEDUC 2026 (escolas_alunos_por_modalidade)
477783,ALDEIA ITAPU MIRIM,REGISTRO,1,1,1,0,0,0,0,SEDUC 2026 (escolas_alunos_por_modalidade)
194906,ALDEIA DJAIKOATY,MIRACATU,1,1,0,0,0,0,0,SEDUC 2026 (escolas_alunos_por_modalidade)
100262,ALDEIA RIO DO AZEITE,ITARIRI,1,1,0,0,0,0,0,SEDUC 2026 (escolas_alunos_por_modalidade)
127176,ALDEIA URU'ITY,MIRACATU,1,0,0,0,0,0,0,SEDUC 2026 (escolas_alunos_por_modalidade)
