CIE_Escola,Serviço,Detalhe
559106,Alimentação escolar,56 alunos
568430,Alimentação escolar,23 alunos
534924,Alimentação escolar,6 alunos
127152,Alimentação escolar,85 alunos
194906,Alimentação escolar,6 alunos
100195,Alimentação escolar,33 alunos
127164,Alimentação escolar,20 alunos
477783,Alimentação escolar,6 alunos
434000,Transporte,17 alunos
434000,Alimentação escolar,13 alunos
268574,Alimentação escolar,19 alunos
100110,Alimentação escolar,37 alunos
469786,Alimentação escolar,31 alunos
100146,Alimentação escolar,35 alunos
559088,Alimentação escolar,14 alunos
559118,Alimentação escolar,33 alunos
559076,Alimentação escolar,25 alunos
100201,Alimentação escolar,25 alunos
100407,Alimentação escolar,10 alunos
100948,Alimentação escolar,32 alunos
100262,Alimentação escolar,4 alunos
100389,Alimentação escolar,19 alunos
495219,Alimentação escolar,41 alunos
469774,Alimentação escolar,26 alunos
499523,Alimentação escolar,16 alunos
469798,Alimentação escolar,20 alunos
306526,Alimentação escolar,15 alunos
100341,Alimentação escolar,25 alunos
127176,Alimentação escolar,4 alunos
482419,Alimentação escolar,8 alunos
7734,Alimentação escolar,29 alunos
559210,Alimentação escolar,276 alunos
100249,Alimentação escolar,15 alunos
395365,Alimentação escolar,18 alunos
421868,Alimentação escolar,46 alunos
925135,Alimentação escolar,303 alunos
343316,Alimentação escolar,29 alunos
103100,Alimentação escolar,116 alunos
559097,Alimentação escolar,37 alunos
566044,Alimentação escolar,27 alunos
417439,Alimentação escolar,101 alunos
8803,Alimentação escolar,9 alunos
