CIE_Escola,Anos_Iniciais,Anos_Finais,Ensino_Medio,EJA_Anos_Iniciais,EJA_Anos_Finais,EJA_Ensino_Medio,Ensino_Infantil
559106,4,5,,,,,4
568430,1,1,,,,1,
534924,1,1,,,,,
127152,3,2,2,1,1,1,1
194906,1,1,,,,,1
100195,3,2,2,,,1,1
127164,2,1,,,,,1
477783,1,1,1,,,,
434000,3,2,,,,,2
268574,4,3,,,1,2,2
100110,3,2,2,,1,1,2
469786,5,5,,,1,,2
100146,3,2,2,,1,1,1
559088,1,1,1,,,,1
559118,5,2,,,1,,2
559076,1,1,1,,,,1
100201,2,2,1,,1,1,
100407,1,1,,,,,
100948,4,3,,,,,4
100262,1,1,,,,,
100389,1,1,,,,,
495219,1,1,1,1,,,1
469774,4,2,,,,,3
499523,1,1,1,,,,1
469798,2,1,,,,,1
306526,2,1,2,,2,2,1
100341,3,2,,1,1,,1
127176,1,,,,,,1
482419,3,,1,,1,1,1
7734,1,1,1,,1,,
559210,10,5,3,1,,1,
100249,2,2,,,2,1,1
395365,2,2,,,,,1
421868,3,2,3,,,,1
925135,7,4,3,,,1,
343316,2,2,1,,1,,1
103100,5,4,3,,,1,
559097,4,3,,,,,3
566044,2,2,,1,,,1
417439,,4,3,,1,1,
8803,2,2,,,1,1,1
PARANAPUA,1,,,,,,
