ID,Nome,Município,Endereço,Pesquisa Google Maps
42,ALDEIA PIACAGUERA,PERUIBE,ALDEIA PIACAGUERA,"""ALDEIA PIACAGUERA"" ALDEIA PIACAGUERA PERUIBE SP site:google.com/maps"
43,ALDEIA BANANAL,PERUIBE,ARMANDO CUNHA,"""ALDEIA BANANAL"" ARMANDO CUNHA PERUIBE SP site:google.com/maps"
44,KUARAY O E A SOL NASCENTE,MONGAGUA,ALDEIA ITAOCA,"""KUARAY O E A SOL NASCENTE"" ALDEIA ITAOCA MONGAGUA SP site:google.com/maps"
45,ALDEIA AGUAPEU,MONGAGUA,ALDEIA AGUAPEU,"""ALDEIA AGUAPEU"" ALDEIA AGUAPEU MONGAGUA SP site:google.com/maps"
47,ALDEIA ARACA MIRIM,PARIQUERA-ACU,RIBEIRAO VERMELHO,"""ALDEIA ARACA MIRIM"" RIBEIRAO VERMELHO PARIQUERA-ACU SP site:google.com/maps"
48,ALDEIA PEGUA TY,PARIQUERA-ACU,ALDEIA PEGUA TY,"""ALDEIA PEGUA TY"" ALDEIA PEGUA TY PARIQUERA-ACU SP site:google.com/maps"
49,ALDEIA PEROPAVA,IGUAPE,ALDEIA PEROPAVA,"""ALDEIA PEROPAVA"" ALDEIA PEROPAVA IGUAPE SP site:google.com/maps"
50,ALDEIA GUAVIRA MIRIM,IGUAPE,ALDEIA GUAVIRA MIRIM,"""ALDEIA GUAVIRA MIRIM"" ALDEIA GUAVIRA MIRIM IGUAPE SP site:google.com/maps"
52,ALDEIA NHAMANDU MIRIM,ITARIRI,ALDEIA NHAMANDU MIRIM,"""ALDEIA NHAMANDU MIRIM"" ALDEIA NHAMANDU MIRIM ITARIRI SP site:google.com/maps"
53,ALDEIA PEROPAVA,ITARIRI,ALDEIA PEROPAVA,"""ALDEIA PEROPAVA"" ALDEIA PEROPAVA ITARIRI SP site:google.com/maps"
54,ALDEIA MAMBORE,ITARIRI,ALDEIA MAMBORE,"""ALDEIA MAMBORE"" ALDEIA MAMBORE ITARIRI SP site:google.com/maps"
55,ALDEIA RIO BRANCO,ITARIRI,ALDEIA RIO BRANCO,"""ALDEIA RIO BRANCO"" ALDEIA RIO BRANCO ITARIRI SP site:google.com/maps"
56,ALDEIA MAMBORE II,ITARIRI,ALDEIA MAMBORE II,"""ALDEIA MAMBORE II"" ALDEIA MAMBORE II ITARIRI SP site:google.com/maps"
57,ALDEIA JARAGUÁ,SÃO PAULO,ALDEIA JARAGUÁ,"""ALDEIA JARAGUÁ"" ALDEIA JARAGUÁ SÃO PAULO SP site:google.com/maps"
58,ALDEIA JARAGUÁ TEKOA PYAU,SÃO PAULO,ALDEIA JARAGUÁ TEKOA PYAU,"""ALDEIA JARAGUÁ TEKOA PYAU"" ALDEIA JARAGUÁ TEKOA PYAU SÃO PAULO SP site:google.com/maps"
59,ALDEIA JARAGUÁ YVY PORÃ,SÃO PAULO,ALDEIA JARAGUÁ YVY PORÃ,"""ALDEIA JARAGUÁ YVY PORÃ"" ALDEIA JARAGUÁ YVY PORÃ SÃO PAULO SP site:google.com/maps"
